,Question,History8,Rewrite
69,That’s not what I wanted. How about recent developments in gene therapy to treat those defects?,"How do genes work? |  |  |  | What are the other types of human genetic diseases besides monogenic? |  This type of disorders seem to be much easier to observe because they are, sometimes, detected by examination with microscope | You missed the second type of genetic disease.  What was that? |  Many chromosome errors cause the fetus to be aborted before birth, but some syndromes can be born and survive, though all typically suffer severe mental and physical defects",That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome?
70,What are they worried about?,"How do genes work? |  |  |  |  |  This type of disorders seem to be much easier to observe because they are, sometimes, detected by examination with microscope | You missed the second type of genetic disease.  What was that? |  Many chromosome errors cause the fetus to be aborted before birth, but some syndromes can be born and survive, though all typically suffer severe mental and physical defects | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |  Many ­researchers say they worry about unintended consequences with long-term effects",What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?
71,"No, I meant in humans.","How do genes work? |  |  |  |  |  | You missed the second type of genetic disease.  What was that? |  Many chromosome errors cause the fetus to be aborted before birth, but some syndromes can be born and survive, though all typically suffer severe mental and physical defects | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |  Many ­researchers say they worry about unintended consequences with long-term effects | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  Ordinarily, offspring get just half their traits from each parent — but with the mutant inserting its DNA into both chromosomes, mosquitoes with the gene drive were able to pass on the resistance to 99","No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?"
72,It sounds like it could be used in many places. What other types of organisms has it been tried on?,"How do genes work? |  |  |  |  |  |  |  Many chromosome errors cause the fetus to be aborted before birth, but some syndromes can be born and survive, though all typically suffer severe mental and physical defects | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |  Many ­researchers say they worry about unintended consequences with long-term effects | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  Ordinarily, offspring get just half their traits from each parent — but with the mutant inserting its DNA into both chromosomes, mosquitoes with the gene drive were able to pass on the resistance to 99 | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes","It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on?"
73,I’ve heard a lot about RNA recently. Can it be used to edit that too?,"How do genes work? |  |  |  |  |  |  |  | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? |  Many ­researchers say they worry about unintended consequences with long-term effects | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  Ordinarily, offspring get just half their traits from each parent — but with the mutant inserting its DNA into both chromosomes, mosquitoes with the gene drive were able to pass on the resistance to 99 | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |  This has already been successfully used to target important genes in many cell lines and organisms, including human (34), bacteria (41), zebrafish (32), C",I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA?
74,What’s the difference between the types you mentioned?,"How do genes work? |  |  |  |  |  |  |  |  |  Many ­researchers say they worry about unintended consequences with long-term effects | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  Ordinarily, offspring get just half their traits from each parent — but with the mutant inserting its DNA into both chromosomes, mosquitoes with the gene drive were able to pass on the resistance to 99 | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |  This has already been successfully used to target important genes in many cell lines and organisms, including human (34), bacteria (41), zebrafish (32), C | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? |  CRISPR-cas13b, using a type IV CRISPR-Cas system (as opposed to the commonly used type II) can target and edit specific RNA sequences",What’s the difference between the CRISPR CRISPRi and CAS13b systems?
75,"That’s too basic, I’d like a more scientific explanation.","How do genes work? |  |  |  |  |  |  |  |  |  | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  Ordinarily, offspring get just half their traits from each parent — but with the mutant inserting its DNA into both chromosomes, mosquitoes with the gene drive were able to pass on the resistance to 99 | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |  This has already been successfully used to target important genes in many cell lines and organisms, including human (34), bacteria (41), zebrafish (32), C | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? |  CRISPR-cas13b, using a type IV CRISPR-Cas system (as opposed to the commonly used type II) can target and edit specific RNA sequences | What’s the difference between the CRISPR CRISPRi and CAS13b systems? |  For example, here’s a simplified explanation: CRISPR-Cas systems protect bacteria from invaders such as viruses","That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems?"
76,The developments sound exciting. What are the commercial issues using it?,"How do genes work? |  |  |  |  |  |  |  |  |  |  |  Ordinarily, offspring get just half their traits from each parent — but with the mutant inserting its DNA into both chromosomes, mosquitoes with the gene drive were able to pass on the resistance to 99 | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |  This has already been successfully used to target important genes in many cell lines and organisms, including human (34), bacteria (41), zebrafish (32), C | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? |  CRISPR-cas13b, using a type IV CRISPR-Cas system (as opposed to the commonly used type II) can target and edit specific RNA sequences | What’s the difference between the CRISPR CRISPRi and CAS13b systems? |  For example, here’s a simplified explanation: CRISPR-Cas systems protect bacteria from invaders such as viruses | That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems? |  Unlike other CRISPR techniques that focus on editing a troublesome gene, this modified approach focuses on repressing the gene",The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases?
77,What are the alternatives to avoid licensing issues?,"How do genes work? |  |  |  |  |  |  |  |  |  |  |  | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? |  While the ethical and regulatory focus of concern has been on “designer babies” or threats to the human germline, the high risk of unintended consequences also applies to editing the genes of other life forms, from mice and mosquitos to microbes | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? |  This has already been successfully used to target important genes in many cell lines and organisms, including human (34), bacteria (41), zebrafish (32), C | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? |  CRISPR-cas13b, using a type IV CRISPR-Cas system (as opposed to the commonly used type II) can target and edit specific RNA sequences | What’s the difference between the CRISPR CRISPRi and CAS13b systems? |  For example, here’s a simplified explanation: CRISPR-Cas systems protect bacteria from invaders such as viruses | That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems? |  Unlike other CRISPR techniques that focus on editing a troublesome gene, this modified approach focuses on repressing the gene | The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases? |  , SAGE Labs (part of Horizon Discovery group) had exclusive rights from one of those companies to produce and sell genetically engineered rats and non-exclusive rights for mouse and rabbit models",What are the alternatives to CRISPR-CAS9 to avoid patent licensing issues?
78,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?,,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?
79,"How about my diet, what should I consider changing?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | “For someone going through these types of situations, the first thing I would ask is about their sleep, nutrition, iron, etc","How about my diet, what should I consider changing to increase my iron?"
80,"No, I meant to help my ferritin specifically.","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  | How about my diet, what should I consider changing to increase my iron? | You should try to eat at least two servings a day","No, I meant what should I consider changing in my diet to help my ferritin levels specifically."
81,What is the difference between the two types?,"I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  |  | You should try to eat at least two servings a day | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. |  There are two forms of iron – animal foods contain heme iron, while plants contain non-heme iron",What is the difference between heme and non-heme iron?
82,"I’m vegetarian. So, what can I do to improve it and increase my levels?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  |  |  | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. |  There are two forms of iron – animal foods contain heme iron, while plants contain non-heme iron | What is the difference between heme and non-heme iron? | • Foods rich in heme-iron can improve the absorption of non-heme iron",I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin?
83,I heard eating eggs might help.,"I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  |  |  |  |  There are two forms of iron – animal foods contain heme iron, while plants contain non-heme iron | What is the difference between heme and non-heme iron? | • Foods rich in heme-iron can improve the absorption of non-heme iron | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? |  Drinking plenty of water and eating plenty of raw fruits and vegetables is probably the best way to achieving healthy hair",I heard eating eggs might help improve my ferritin levels.
84,I’m also a woman over 50. How many do I need to eat to get the recommended amount?,"I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  |  |  |  |  | What is the difference between heme and non-heme iron? | • Foods rich in heme-iron can improve the absorption of non-heme iron | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? |  Drinking plenty of water and eating plenty of raw fruits and vegetables is probably the best way to achieving healthy hair | I heard eating eggs might help improve my ferritin levels. | Need to Lose Weight? Enter your details to calculate your ideal weight range, and discover how soon you could reach it!Imperial Metric Height ft in Weight st lb Weight Loss Resources says…This study suggests that eating eggs for breakfast makes you feel fuller for longer so that you eat less at your next few meals",I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet?
85,"I’m starting to train for a marathon, what should I consider?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  |  |  |  |  |  | • Foods rich in heme-iron can improve the absorption of non-heme iron | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? |  Drinking plenty of water and eating plenty of raw fruits and vegetables is probably the best way to achieving healthy hair | I heard eating eggs might help improve my ferritin levels. | Need to Lose Weight? Enter your details to calculate your ideal weight range, and discover how soon you could reach it!Imperial Metric Height ft in Weight st lb Weight Loss Resources says…This study suggests that eating eggs for breakfast makes you feel fuller for longer so that you eat less at your next few meals | I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet? |  You’ll get some of the bone-building minerals -- calcium, magnesium and phosphorus -- as well as the electrolyte minerals potassium and sodium","I’m starting to train for a marathon, what should I consider in my vegetarian diet?"
86,"No, I’m starting to train for a marathon, what is a one week diet?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? |  |  |  |  |  |  |  | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? |  Drinking plenty of water and eating plenty of raw fruits and vegetables is probably the best way to achieving healthy hair | I heard eating eggs might help improve my ferritin levels. | Need to Lose Weight? Enter your details to calculate your ideal weight range, and discover how soon you could reach it!Imperial Metric Height ft in Weight st lb Weight Loss Resources says…This study suggests that eating eggs for breakfast makes you feel fuller for longer so that you eat less at your next few meals | I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet? |  You’ll get some of the bone-building minerals -- calcium, magnesium and phosphorus -- as well as the electrolyte minerals potassium and sodium | I’m starting to train for a marathon, what should I consider in my vegetarian diet? |  Along with these stories comes a common query from incredulous non-vegans: “How do you get enough protein?” “It’s always the first question,” says Torre Washington, a bodybuilder who has been following a vegan diet for 18 years, laughing","No, I’m starting to train for a marathon, what is a one week vegetarian diet?"
87,How are mental health disorders perceived and addressed around the world?,,How are mental health disorders perceived and addressed around the world?
88,What are the causes of stigma in Africa?,"How are mental health disorders perceived and addressed around the world? |  However, the authors note that these figures likely underestimate the extent of stigma associated with mental illness since they only evaluated data on anxiety and mood disorders",What are the causes of mental health stigma in Africa?
89,Could you expand on some of these methods?,"How are mental health disorders perceived and addressed around the world? |  | What are the causes of mental health stigma in Africa? |  Although some slight progress has been made with the availability of mental health resources in these areas, still many people in rural Southeast Africa utilize traditional methods to treat mental illness",Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues?
90,How effective are these methods and could they be combined with Western medicine?,"How are mental health disorders perceived and addressed around the world? |  |  |  Although some slight progress has been made with the availability of mental health resources in these areas, still many people in rural Southeast Africa utilize traditional methods to treat mental illness | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | "" (""Aloaceae/Asphodelaceae"") and the broad therapeutic uses in southern Africa, suggest its cultural significance in the subcontinent",How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine?
91,"Okay. Now, what about the causes in Asia?","How are mental health disorders perceived and addressed around the world? |  |  |  | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | "" (""Aloaceae/Asphodelaceae"") and the broad therapeutic uses in southern Africa, suggest its cultural significance in the subcontinent | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |  Mustafa Elmasri, a Gaza psychologist with over twenty years of experience describes how he has often collaborated with African Traditional Medicine","Okay. Now, what about the causes of mental health stigma in Asia?"
92,Is there a relationship between these values and mental illness in the region?,"How are mental health disorders perceived and addressed around the world? |  |  |  |  | "" (""Aloaceae/Asphodelaceae"") and the broad therapeutic uses in southern Africa, suggest its cultural significance in the subcontinent | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |  Mustafa Elmasri, a Gaza psychologist with over twenty years of experience describes how he has often collaborated with African Traditional Medicine | Okay. Now, what about the causes of mental health stigma in Asia? |  Living with mental illness You might not realize it, but you probably know someone who has a mental illness",Is there a relationship between Asian cultural values and mental illness?
93,"Wow. Besides these values, what other factors could cause stigmatization?","How are mental health disorders perceived and addressed around the world? |  |  |  |  |  | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? |  Mustafa Elmasri, a Gaza psychologist with over twenty years of experience describes how he has often collaborated with African Traditional Medicine | Okay. Now, what about the causes of mental health stigma in Asia? |  Living with mental illness You might not realize it, but you probably know someone who has a mental illness | Is there a relationship between Asian cultural values and mental illness? | Some sub-populations of cultures, such as those from India and Pakistan, are reluctant to accept a diagnosis of severe emotional illness or mental retardation because it severely reduces the chances of other members of the family getting married","Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia?"
94,What about the causes in North America?,"How are mental health disorders perceived and addressed around the world? |  |  |  |  |  |  |  Mustafa Elmasri, a Gaza psychologist with over twenty years of experience describes how he has often collaborated with African Traditional Medicine | Okay. Now, what about the causes of mental health stigma in Asia? |  Living with mental illness You might not realize it, but you probably know someone who has a mental illness | Is there a relationship between Asian cultural values and mental illness? | Some sub-populations of cultures, such as those from India and Pakistan, are reluctant to accept a diagnosis of severe emotional illness or mental retardation because it severely reduces the chances of other members of the family getting married | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? |  Genetic attribution of mental illness significantly reduced unwillingness to marry and reproduce among Chinese Americans, but it increased the same measures among European Americans, supporting previous findings of cultural variations in patterns of mental illness stigmatization",What about the causes of mental health stigmatisation in North America?
95,Hmm. What has the Alliance done to help?,"How are mental health disorders perceived and addressed around the world? |  |  |  |  |  |  |  | Okay. Now, what about the causes of mental health stigma in Asia? |  Living with mental illness You might not realize it, but you probably know someone who has a mental illness | Is there a relationship between Asian cultural values and mental illness? | Some sub-populations of cultures, such as those from India and Pakistan, are reluctant to accept a diagnosis of severe emotional illness or mental retardation because it severely reduces the chances of other members of the family getting married | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? |  Genetic attribution of mental illness significantly reduced unwillingness to marry and reproduce among Chinese Americans, but it increased the same measures among European Americans, supporting previous findings of cultural variations in patterns of mental illness stigmatization | What about the causes of mental health stigmatisation in North America? |  “When you blame people with mental illness for things like mass shootings, it’s not just untrue,” said Angela Kimball, head of the National Alliance on Mental Illness",Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America?
96,I found the Indian student's approach to treating depression interesting. Have their approaches been tried elsewhere?,"How are mental health disorders perceived and addressed around the world? |  |  |  |  |  |  |  |  |  Living with mental illness You might not realize it, but you probably know someone who has a mental illness | Is there a relationship between Asian cultural values and mental illness? | Some sub-populations of cultures, such as those from India and Pakistan, are reluctant to accept a diagnosis of severe emotional illness or mental retardation because it severely reduces the chances of other members of the family getting married | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? |  Genetic attribution of mental illness significantly reduced unwillingness to marry and reproduce among Chinese Americans, but it increased the same measures among European Americans, supporting previous findings of cultural variations in patterns of mental illness stigmatization | What about the causes of mental health stigmatisation in North America? |  “When you blame people with mental illness for things like mass shootings, it’s not just untrue,” said Angela Kimball, head of the National Alliance on Mental Illness | Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America? |  The course explains the physical nature of mental illness, describes current medications and treatments, and provides practical techniques for effective communication between caregivers and people with mental illness",I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere?
97,Can you tell me more about Chibanda's approach? How effective has it been?,"How are mental health disorders perceived and addressed around the world? |  |  |  |  |  |  |  |  |  | Is there a relationship between Asian cultural values and mental illness? | Some sub-populations of cultures, such as those from India and Pakistan, are reluctant to accept a diagnosis of severe emotional illness or mental retardation because it severely reduces the chances of other members of the family getting married | Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? |  Genetic attribution of mental illness significantly reduced unwillingness to marry and reproduce among Chinese Americans, but it increased the same measures among European Americans, supporting previous findings of cultural variations in patterns of mental illness stigmatization | What about the causes of mental health stigmatisation in North America? |  “When you blame people with mental illness for things like mass shootings, it’s not just untrue,” said Angela Kimball, head of the National Alliance on Mental Illness | Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America? |  The course explains the physical nature of mental illness, describes current medications and treatments, and provides practical techniques for effective communication between caregivers and people with mental illness | I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere? |  He removed the medical and technical elements that made seeking treatment intimidating, and developed a simple solution to enlist the help of lay health workers who could take on matriarchal roles",Can you tell me more about Chibanda's approach to treating mental illness? How effective has it been?
98,How are literary devices used in Biblical poetry?,,How are literary devices used in Biblical poetry?
99,That's interesting. How is it defined?,"How are literary devices used in Biblical poetry? | A fuller appreciation of the formal literary virtues of Biblical poetry remained unavailable for European Christians until 1754, when Robert Lowth (later made a bishop in the Church of England), kinder to the Hebrew language than his own, published ""Praelectiones Academicae de Sacra Poesi Hebraeorum"", which identified parallelism as the chief rhetorical device within Hebrew poetry",That's interesting. How is Christian poetry defined?
100,How did those traditions affect them?,"How are literary devices used in Biblical poetry? |  | That's interesting. How is Christian poetry defined? |  Passages such as Philippians 2:5-11 (following) are thought by many Biblical scholars to represent early Christian hymns that were being quoted by the Apostle: Within the world of classical antiquity, Christian poets often struggled with their relationship to the existing traditions of Greek and Latin poetry, which were of course heavily influenced by paganism",How did the existing traditions of Greek and Latin poetry affect Christian Poets?
101,That's interesting about Christianity. How are devices used in Islamic ones?,"How are literary devices used in Biblical poetry? |  |  |  Passages such as Philippians 2:5-11 (following) are thought by many Biblical scholars to represent early Christian hymns that were being quoted by the Apostle: Within the world of classical antiquity, Christian poets often struggled with their relationship to the existing traditions of Greek and Latin poetry, which were of course heavily influenced by paganism | How did the existing traditions of Greek and Latin poetry affect Christian Poets? |  The hymnodist Venantius Fortunatus wrote a number of important poems that are still used in the liturgy of the Roman Catholic Church, such as the ""Vexilla Regis"" (""The Royal Standard"") and ""Pange, lingua, gloriosi proelium certaminis"" (""Sing, O my tongue, of the glorious struggle"")",That's interesting about Christianity. How are literary devices used in Islamic poetry?
102,Okay. How does the use of rhyme in Biblical poetry compare?,"How are literary devices used in Biblical poetry? |  |  |  | How did the existing traditions of Greek and Latin poetry affect Christian Poets? |  The hymnodist Venantius Fortunatus wrote a number of important poems that are still used in the liturgy of the Roman Catholic Church, such as the ""Vexilla Regis"" (""The Royal Standard"") and ""Pange, lingua, gloriosi proelium certaminis"" (""Sing, O my tongue, of the glorious struggle"") | That's interesting about Christianity. How are literary devices used in Islamic poetry? |  These poems and features examine Muslim faith and Islamic culture and address important events, holidays, and occasions such as Ramadan",Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry?
103,Why didn't it use rhymes as much?,"How are literary devices used in Biblical poetry? |  |  |  |  |  The hymnodist Venantius Fortunatus wrote a number of important poems that are still used in the liturgy of the Roman Catholic Church, such as the ""Vexilla Regis"" (""The Royal Standard"") and ""Pange, lingua, gloriosi proelium certaminis"" (""Sing, O my tongue, of the glorious struggle"") | That's interesting about Christianity. How are literary devices used in Islamic poetry? |  These poems and features examine Muslim faith and Islamic culture and address important events, holidays, and occasions such as Ramadan | Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? | The Arabs have always used rhymes extensively, most notably in their long, rhyming qasidas",Why didn't Biblical poetry use rhymes as extensively as Arabic?
104,"Ahh, it seems like rhyming and parallelism share similar functions. How did both types of poetry influence other kinds of poetry?","How are literary devices used in Biblical poetry? |  |  |  |  |  | That's interesting about Christianity. How are literary devices used in Islamic poetry? |  These poems and features examine Muslim faith and Islamic culture and address important events, holidays, and occasions such as Ramadan | Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? | The Arabs have always used rhymes extensively, most notably in their long, rhyming qasidas | Why didn't Biblical poetry use rhymes as extensively as Arabic? |  The chief device of ancient Hebrew Biblical poetry, including many of the psalms, was ""parallelism"", a rhetorical structure in which successive lines reflected each other in grammatical structure, sound structure, notional content, or all three","Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry?"
105,Did Biblical poetry have a similar impact?,"How are literary devices used in Biblical poetry? |  |  |  |  |  |  |  These poems and features examine Muslim faith and Islamic culture and address important events, holidays, and occasions such as Ramadan | Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? | The Arabs have always used rhymes extensively, most notably in their long, rhyming qasidas | Why didn't Biblical poetry use rhymes as extensively as Arabic? |  The chief device of ancient Hebrew Biblical poetry, including many of the psalms, was ""parallelism"", a rhetorical structure in which successive lines reflected each other in grammatical structure, sound structure, notional content, or all three | Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry? |  In modern literary traditions the boundaries of poetry are very broad (free verse, prose poetry, etc",Did Biblical poetry have a similar impact on other kinds of religious poetry?
106,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?,,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?
107,Why was the Squad established in the first place?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  Over the last 10 days, Nigerians have been protesting against the Special Anti-Robbery Squad, a unit of the Nigerian federal police force, after a video emerged of officers allegedly killing a man",Why was the Special Anti-Robbery Squad (SARS) established in the first place?
108,What's an example of those reasons?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  | Why was the Special Anti-Robbery Squad (SARS) established in the first place? |  Temi Afolabi, a lawyer in Lagos, said officers have a reputation for searching phones at random and detaining people for outrageous reasons",What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people?
109,How did the international community respond?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  |  |  Temi Afolabi, a lawyer in Lagos, said officers have a reputation for searching phones at random and detaining people for outrageous reasons | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? |  Police deployed anti-riot officers to “protect the lives and property of all Nigerians and secure critical national infrastructure across the country,” the department said in a statement",How did the international community respond to the EndSars protests in Nigeria?
110,"Okay, but I meant their response to the EndSars protests.","A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  |  |  | What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? |  Police deployed anti-riot officers to “protect the lives and property of all Nigerians and secure critical national infrastructure across the country,” the department said in a statement | How did the international community respond to the EndSars protests in Nigeria? |  International outcry, which took off in social media via the hashtag #BringBackOurGirls on Twitter and Instagram, has drawn so much attention to the crisis as to make it impossible for Nigeria’s leaders to ignore","Okay, but I meant the international community's response to the EndSars protests."
111,Did that help?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  |  |  |  |  Police deployed anti-riot officers to “protect the lives and property of all Nigerians and secure critical national infrastructure across the country,” the department said in a statement | How did the international community respond to the EndSars protests in Nigeria? |  International outcry, which took off in social media via the hashtag #BringBackOurGirls on Twitter and Instagram, has drawn so much attention to the crisis as to make it impossible for Nigeria’s leaders to ignore | Okay, but I meant the international community's response to the EndSars protests. |  “The United States must stand with Nigerians who are peacefully demonstrating for police reform and seeking an end to corruption in their democracy,” Democratic nominee Joe Biden said in a statement",Did international support from the US help with the EndSars movement?
112,My friend also mentioned that women were instrumental to the movement. What was their role?,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  |  |  |  |  | How did the international community respond to the EndSars protests in Nigeria? |  International outcry, which took off in social media via the hashtag #BringBackOurGirls on Twitter and Instagram, has drawn so much attention to the crisis as to make it impossible for Nigeria’s leaders to ignore | Okay, but I meant the international community's response to the EndSars protests. |  “The United States must stand with Nigerians who are peacefully demonstrating for police reform and seeking an end to corruption in their democracy,” Democratic nominee Joe Biden said in a statement | Did international support from the US help with the EndSars movement? | As Human Rights Watch’s Sarah Margon notes, any action to assist the Nigerian army is fraught with moral hazard; this is an army that is responsible for almost as many abuses against civilians in northeastern Nigeria as Boko Haram itself",My friend also mentioned that women were instrumental to the EndSars movement. What was their role?
113,That's cool. Tell me more about them.,"A friend said there were massive protests in Nigeria towards the end of 2020. What happened? |  |  |  |  |  |  |  International outcry, which took off in social media via the hashtag #BringBackOurGirls on Twitter and Instagram, has drawn so much attention to the crisis as to make it impossible for Nigeria’s leaders to ignore | Okay, but I meant the international community's response to the EndSars protests. |  “The United States must stand with Nigerians who are peacefully demonstrating for police reform and seeking an end to corruption in their democracy,” Democratic nominee Joe Biden said in a statement | Did international support from the US help with the EndSars movement? | As Human Rights Watch’s Sarah Margon notes, any action to assist the Nigerian army is fraught with moral hazard; this is an army that is responsible for almost as many abuses against civilians in northeastern Nigeria as Boko Haram itself | My friend also mentioned that women were instrumental to the EndSars movement. What was their role? |  Here’s what you need to know",That's cool. Tell me more about the Feminist Coalition.
